stop_lat,stop_code,stop_lon,timepoint,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
43.0166003,1718,-88.0382036,0,,1718,,GREENFIELD & S101,0,
43.0952924,1843,-87.9443755,0,,1843,,ATKINSON & ROOSEVELT,0,
42.9766622,4026,-87.9481609,0,,4026,,S27 & S3744,0,
42.9816537,4027,-87.9481095,0,,4027,,S27 & MORGAN,0,
42.9737435,4025,-87.9482475,0,,4025,,S27 & HOWARD,0,
42.9665053,4022,-87.9483668,1,,4022,,S27 & BOLIVAR,0,
43.0606574,3725,-88.0183708,0,,3725,,NORTH & N85,0,
43.1192076,5988,-88.0489308,0,,5988,,SILVER SPRING & SILVER SPRING,0,
43.1047542,5989,-88.0436092,0,,5989,,HAMPTON & N105,0,
42.9688706,4642,-87.9615889,0,,4642,,LOOMIS & PLAINFIELD,0,
43.1195542,5986,-88.0412109,0,,5986,,SILVER SPRING & N103,0,
43.1195088,5987,-88.0455497,1,,5987,,SILVER SPRING & N107,0,
43.1196184,5985,-88.0307134,0,,5985,,SILVER SPRING & N95,0,
43.0170492,344,-87.9475619,1,,344,,GREENFIELD & LAYTON,0,
43.0170182,345,-87.9572616,0,,345,,GREENFIELD & S35,0,
43.0214482,346,-87.9575813,1,,346,,S35 & NATIONAL,0,
43.0385397,347,-87.9576316,1,,347,,N35 & WISCONSIN,0,
43.0122039,340,-87.9253645,0,,340,,S11 & MITCHELL,0,
43.0171296,342,-87.9327698,1,,342,,GREENFIELD & CESAR E CHAVEZ DR.,0,
43.0171029,343,-87.9393051,0,,343,,GREENFIELD & S21,0,
42.9378044,3995,-87.9494494,0,,3995,,S27 & RAMSEY,0,
42.9414103,3993,-87.9493717,0,,3993,,S27 & PARNELL,0,
43.0484006,349,-87.9575918,1,,349,,N35 & VLIET,0,
42.9486711,3990,-87.9491857,0,,3990,,S27 & UPHAM,0,
43.0608477,3929,-87.9476901,0,,3929,,N27 & NORTH,0,
43.0354579,6487,-88.0302656,0,,6487,,BLUEMOUND & N94,0,
43.0577382,6354,-88.0076582,0,,6354,,WAUWATOSA & ROGERS,0,
43.1194287,6150,-88.001253,0,,6150,,SILVER SPRING & N72,0,
43.1193726,6151,-87.9986731,0,,6151,,SILVER SPRING & N70,0,
43.119349,6152,-87.9955211,0,,6152,,SILVER SPRING & N68,0,
43.1193239,6153,-87.9936794,0,,6153,,SILVER SPRING & N66,0,
43.1192717,6154,-87.9912185,0,,6154,,SILVER SPRING & N64,0,
43.1192239,6155,-87.9893157,0,,6155,,SILVER SPRING & N62,0,
43.1191823,6156,-87.9863423,1,,6156,,SILVER SPRING & N60,0,
43.1191987,6157,-87.9838615,0,,6157,,SILVER SPRING & N57,0,
43.1192178,6159,-87.9789005,0,,6159,,SILVER SPRING & N53,0,
43.0587878,6353,-88.0076753,0,,6353,,WAUWATOSA & STICKNEY,0,
43.1775456,6796,-88.0203393,0,,6796,,BROWN DEER & W8787,0,
43.0858798,4733,-87.9569443,0,,4733,,N35 & VIENNA,0,
43.0824613,4731,-87.9570136,0,,4731,,N35 & KEEFE,0,
43.0646188,6350,-88.0075931,0,,6350,,WAUWATOSA & WRIGHT,0,
43.0671543,4735,-88.0476014,0,,4735,,MAYFAIR & CENTER,0,
43.0123854,2316,-87.9411508,0,,2316,,MITCHELL & S22,0,
43.0122934,2317,-87.9374718,0,,2317,,MITCHELL & MUSKEGO,0,
43.0103121,2314,-87.9439844,0,,2314,,BURNHAM & S24,0,
43.0122569,2315,-87.9436344,0,,2315,,S24 & MITCHELL,0,
43.0103278,2312,-87.9505194,0,,2312,,BURNHAM & S29,0,
43.0103569,2313,-87.9482689,1,,2313,,BURNHAM & LAYTON,0,
43.1779409,6798,-88.019887,0,,6798,,BROWN DEER & W8766,0,
43.0102931,2311,-87.9531273,0,,2311,,BURNHAM & S31,0,
43.0747677,5855,-88.0407429,0,,5855,,BURLEIGH & N102,0,
43.0748393,5857,-88.0356521,0,,5857,,BURLEIGH & MENOMONEE,0,
43.0744387,5850,-88.0556525,0,,5850,,BURLEIGH & N114,0,
43.0745452,5851,-88.0525743,0,,5851,,BURLEIGH & N112,0,
43.0888674,4526,-87.8996095,1,,4526,,HUMBOLDT & CAPITOL,0,
42.9812593,4977,-87.9676919,0,,4977,,MORGAN & S43,0,
43.0748696,5858,-88.0331323,0,,5858,,BURLEIGH & COLONIAL,0,
43.0892848,4525,-87.897689,0,,4525,,CAPITOL & ESTABROOK,0,
42.9450152,290,-87.929561,0,,290,,S13 & GRANGE,0,
42.9304694,291,-87.9299794,1,,291,,S13 & COLLEGE,0,
43.0680784,3773,-87.979678,0,,3773,,CENTER & N53,0,
43.06806,3772,-87.9772566,0,,3772,,CENTER & N51,0,
43.0680511,3771,-87.9747525,0,,3771,,CENTER & N49,0,
43.0680334,3770,-87.9722151,0,,3770,,CENTER & N47,0,
43.0681083,3776,-87.9871706,1,,3776,,CENTER & N60,0,
43.068078,3775,-87.9850685,0,,3775,,CENTER & APPLETON,0,
43.0680675,3774,-87.9818495,0,,3774,,CENTER & N55,0,
43.0907716,4523,-87.896074,0,,4523,,WILSON & KENMORE,0,
43.0679805,3779,-87.9854536,0,,3779,,CENTER & APPLETON,0,
42.9954968,6292,-87.9874601,0,,6292,,S60 & CLEVELAND,0,
43.0679759,270,-87.9478958,1,,270,,CENTER & FOND DU LAC,0,
43.0606957,272,-87.9575853,1,,272,,N35 & NORTH,0,
43.0548186,273,-87.9576716,0,,273,,N35 & LISBON,0,
43.0488777,274,-87.9577316,1,,274,,N35 & VLIET,0,
43.0447555,275,-87.9577458,1,,275,,N35 & HIGHLAND,0,
43.0390016,276,-87.9578294,1,,276,,N35 & WISCONSIN,0,
43.0218097,277,-87.9578423,1,,277,,S35 & NATIONAL,0,
43.0168377,278,-87.9553115,0,,278,,GREENFIELD & S33,0,
43.0168394,279,-87.9481001,1,,279,,GREENFIELD & LAYTON,0,
43.0484024,6359,-88.0109337,1,,6359,,HARMONEE & HARWOOD,0,
42.9996632,2146,-87.9338138,0,,2146,,WINDLAKE & S16,0,
43.0924844,2262,-87.8873183,0,,2262,,OAKLAND & WOOD,0,
43.1194779,6191,-87.9881609,0,,6191,,SILVER SPRING & N62,0,
43.0130902,2442,-88.0000714,0,,2442,,NATIONAL & S70,0,
43.0126993,2443,-88.002391,0,,2443,,NATIONAL & S72,0,
43.0137797,2441,-87.9977723,1,,2441,,NATIONAL & S68,0,
42.9035319,2446,-87.9200197,0,,2446,,S6 & W 7720,0,
42.9066342,2447,-87.9200047,0,,2447,,S6 & W 7610,0,
43.0121787,2444,-88.0052542,0,,2444,,NATIONAL & S74,0,
43.0118285,2445,-88.0070985,1,,2445,,NATIONAL & S76,0,
