block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_515110,GRE,1,AIRPORT - VIA OAKLAND-HOWELL,24-DEC_GRE_1_94,24-DEC_WK,36977990
a_515107,GRE,1,AIRPORT - VIA OAKLAND-HOWELL,24-DEC_GRE_1_94,24-DEC_WK,36977991
a_515104,GRE,1,AIRPORT - VIA OAKLAND-HOWELL,24-DEC_GRE_1_94,24-DEC_WK,36977992
a_515102,GRE,1,AIRPORT - VIA OAKLAND-HOWELL,24-DEC_GRE_1_94,24-DEC_WK,36977993
a_515109,GRE,1,AIRPORT - VIA OAKLAND-HOWELL,24-DEC_GRE_1_94,24-DEC_WK,36977994
a_515103,GRE,0,BAYSHORE - VIA OAKLAND-HOWELL,24-DEC_GRE_0_90,24-DEC_WK,36977995
a_515111,GRE,1,AIRPORT - VIA OAKLAND-HOWELL,24-DEC_GRE_1_94,24-DEC_WK,36977996
a_19106,19,1,TO ZELLMAN - MLK DR. - S. 13TH ST,24-DEC_19_1_84,24-DEC_WK,37004380
a_515102,GRE,1,AIRPORT - VIA OAKLAND-HOWELL,24-DEC_GRE_1_94,24-DEC_WK,36977998
a_515108,GRE,0,BAYSHORE - VIA OAKLAND-HOWELL,24-DEC_GRE_0_90,24-DEC_WK,36977999
b_54103,54,0,KK/MITCHELL - via MITCHELL-BURNHAM,25-MAR_54_0_28,25-MAR_SAT,37118644
a_19104,19,0,TO FLORIST - DR. M.L.K DRIVE - S. 13TH,24-DEC_19_0_69,24-DEC_WK,37004383
b_30309,30,0,TO DOWNTOWN - TO UWM VIA MARYLAND,25-MAR_30_0_69,25-MAR_SAT,37121454
a_19103,19,1,TO OAK CREEK - MLK DR. - S. 13TH,24-DEC_19_1_81,24-DEC_WK,37004382
a_19103,19,1,TO ZELLMAN - MLK DR. - S. 13TH ST,24-DEC_19_1_84,24-DEC_WK,37004385
b_501103,CN1,0,CONNECT 1 - TO DOWNTOWN MKE,25-MAR_CN1_0_11,25-MAR_SAT,37121099
a_19110,19,1,TO OAK CREEK - MLK DR. - S. 13TH,24-DEC_19_1_81,24-DEC_WK,37004384
b_66306,66,1,TO MAYFAIR - BURLEIGH,25-MAR_66_1_39,25-MAR_WK,37113434
